D483 | 2026-09-03 | OWNER | RULING | Luna protocol comparison | ACTIVE | Rerun three randomly selected luna-low profiles (random.seed(483)) on old era with sol’s identical protocol KB; compare D443 twins mechanistically and blinded; seal with D447/D449/D465. Run beside sol batch, two operators; watch weather.
D482 | 2026-09-03 | OWNER | RULING | Sol protocol rerun | ACTIVE | D465 sol-low gets `--kb dnd-slim-runs/sol-protocol-kb.txt`, 240 s, same seeds/reps/profiles, old era; two-room self-planning probe before batch. Report protocol confound versus luna. Hold D466 main merge until batch finishes.
D481 | 2026-09-02 | OWNER | RULING | Atomic engine merge | ACTIVE | Commit finished gated D466 increments into `/home/vagrant/PhpstormProjects/dnd-lane-rollout` (lane-wt/ctrl-value); main arena code remains unchanged until single merge after old-era D465/D447. Decisions-only notes may land on main.
D478 | 2026-09-02 | OWNER | RULING | Arena-first scheduling | ACTIVE | All arena until after D460 unseals; no live-loop VTT work beforehand. D456/D463/D474/D475 remain its specification.
D471 | 2026-09-02 | OWNER | RULING | Sealed advice program | ACTIVE | Preregister one post-shift program: control, low+advice, medium+advice replication, three-round control-profile/no-advice lane. Arms sequential, advice first; one unsealing.
D470 | 2026-09-02 | OWNER | RULING | Sol judging confound | ACTIVE | Keep unchanged three-seat panel on sol-operated D465 packets; reports explicitly note sol judges its own model family; retain per-seat totals.
D467 | 2026-09-02 | OWNER | RULING | Defective-seed caveat | ACTIVE | D447 keeps seeds 6204001–10; report primary all-seed paired delta and stated secondary excluding defective 6204004/5/6. Caveat shared no-attack creatures; preregister before unsealing.
D465 | 2026-09-02 | OWNER | RULING | Sol distillation batch | ACTIVE | Rerun 15 D443 profiles using gpt-5.6-sol low, 240 s, brutal seeds 6203001–10 ×3; feed D460 distillation. Report as-scored/both-authorized pairs. Seal D447/D449 program; operators use ~/.codex-aidm, judges default home.
D455 | 2026-09-02 | OWNER | RULING | Sequential causal measurement | ACTIVE | Measure k7 on current era first; then renderer/rider changes as one shift with fresh control, k7 baseline on both sides. No factorial arms.
D451 | 2026-09-02 | OWNER | RULING | Separate sealed programs | ACTIVE | Unseal D443 once all judging validates; publish ranking/effort verdict. D447/D449 form separately sealed program with one end-unsealing, primes 373/379 and blind judges; report supervisor’s prior D443 identity knowledge.
D444 | 2026-09-01 | OWNER | RULING | Merge effort sequence | ACTIVE | Merge ctrl-value/honesty between D441 and D443 after full lane tests/live smoke; main gate, mini-A/B, supervisor G-sweep. After unsealing rerun top combos at medium on new era with fresh controls; prevent process-poll wrapper self-matches.
D423 | 2026-08-31 | OWNER | RULING | Interleaved work queue | ACTIVE | Continue engine-merge interleaved from stage 2 after main-sync; capability lanes beside harder-basis construction, measurements when ready.
D409 | 2026-08-29 | OWNER | RULING | Luna experiment loop | ACTIVE | Harvest plugin-suppression and K6 double-fetch/protocol cuts; maintain Luna low/medium experiment loop: codex-collab brainstorm → implement → blind-judge. Separately research open-model D&D DM RL with engine/judge rewards and arena transcripts.
D402.3 | 2026-08-28 | OWNER | RULING | Cycle two arms | ACTIVE | Cycle 2: Luna low, Luna medium, sol low, Luna low→sol low, Luna medium→sol low, Luna low→Luna medium. Only single correction escalates; base plans otherwise. Frozen 12 rooms, K5, reaction guidance, pre-registration and per-row model attribution.
D401.calibration | 2026-08-28 | OWNER | RULING | Judge calibration timing | ACTIVE | Hold first owner judge-calibration session until after cycle 2.
D399 | 2026-08-27 | OWNER | RULING | MCP lead workstream | ACTIVE | MCP implementation leads dispatches and quiet windows per frozen design §11; kill batch 2, flywheel cycle and Track A/B remain secondary. Install opencode/pi; public-shipping conformance remains required at release.
D396.supervisor | 2026-08-27 | SUPERVISOR | RULE | Flywheel evidence controls | ACTIVE | Keep E08 preregistration; expanded model×effort matrix is new experiment. Normalize encounters into versioned IR with provenance; frozen plus rolling-fresh fixtures. SA fixtures NEVER feed KB authoring/prompts; transcripts outside git; commit mined findings/KB deltas.
D396.supervisor.2 | 2026-08-27 | SUPERVISOR | RULE | Replay and authority | ACTIVE | Cache AI replay by seed/prompt-hash. DM takeover immediate; handback only at engine transaction boundaries. AI remains proposer behind DM-authoritative client. Colby compatibility uses named assumptions and golden scenario outputs, not UI imitation.
D391.11 | 2026-08-26 | OWNER | RULING | Refactor runtime priority | ACTIVE | Overnight analysis batches acceptable; correctness first; no performance/worker work in refactor.
D390 | 2026-08-26 | OWNER | RULING | Refactor role inversion | ACTIVE | Fable directly implements D388/D389 refactor in wt/engine-merge; codex independently reviews frozen increments at gates. Avoid redundant checks, try/catch and low-value tests. Other lanes retain codex implementation.
D374 | 2026-08-24 | OWNER | RULING | Queue and forks | ACTIVE | Elevation has no queue position: keep dive/falls/high-ground/web-bridge stand-ins in deferred register. Confirm generic PendingDecision tray fork #18; endorse overlay fork #17 pending wildshape dispatch. Next private mapper slice: Mind Sliver, Barkskin, Tortoise Shell.
D373.3 | 2026-08-24 | OWNER | RULING | Hidden creature fog | ACTIVE | Hidden creature cell renders fogged on shared board; accepted tell that fog appears where creature hid. No presenter tab this increment.
D372 | 2026-08-24 | OWNER | RULING | Clone test parties | ACTIVE | Test representative party first, then private SRD-approximated BG3 builds with scripted guide rotations. Honour Mode/full legendary kits is target. Resume parallel curation from 2024 floor blockers; Wish's two-round wait counts from first resumed round.
D338 addendum | 2026-08-22 | OWNER | RULING | Heat Metal contract | ACTIVE | Distinguish droppable held versus worn; target metal; failed CON save forces droppable item onto cell, retrievable; retained contact imposes Disadvantage until caster next turn. Bonus Action re-damage while concentrating; damage applies to ANY creature in contact.
D329 addendum 2 | 2026-08-21 | OWNER | RULING | Fear support build | ACTIVE | ep-213 maximizes fear across enemies, then normal damage. Implement radius-condition aura engine and private equivalents of five fear sources; map fear-first routine.
D329 addendum | 2026-08-21 | OWNER | RULING | Utility build quarantine | ACTIVE | Permanently quarantine ep-208 Swiss Army Soul Knife from combat soaks; register utility/no-combat-routine reason, never synthesize routine.
D314.13 | 2026-08-19 | OWNER | RULING | Self-play program | ACTIVE | Supervised all-AI tables mine bugs/improvements; sweep Luna/Terra/sol efforts and sol/Fable/Opus high speed/quality; build KB-backed DM/PC skill and investigate per-decision routing.
D314.16 | 2026-08-19 | OWNER | RULING | Themed playtest | ACTIVE | Token portraits, map textures and fog styling must be themed before owner plays.
D277 | 2026-08-17 | OWNER | PLAN-RECORD | Migration before repairs | ACTIVE | Complete module-by-module error/refusal migration before five S7 repairs; exhaustive-switch pass uses spare capacity.
D271 | 2026-08-16 | OWNER | RULING | Current-tree quiet rounds | ACTIVE | Round 24 adversarially reviews six post-round-23 production changes; tests-only commits exempt. CLEAN is quiet 1/2 for current tree; one further quiet round before simcore→main. Prior-tree CLEAN cannot certify changed production.
D200 | 2026-08-04 | OWNER | RULING | Suite speed unit | ACTIVE | Dedicated infra unit may split php-feature-parity.spec.ts and change config after FF-B/SC-3/AR-A/CI-4a drain. No assertion changes; supervisor verifies strict-superset census with same test titles; touch nothing else. Config prohibition remains no-paths-to-green.
D165 | 2026-08-02 | OWNER | RULING | Three acceptance scripts | ACTIVE | Script 1 adds multiclass, spell section, subclass; script 2 spell forks; script 3 librarian publish→anonymous URL join→refresh→roster. All gate D106; party script fixture-backed under PARTY-NO-LIVE-NETWORK.
D164 | 2026-08-02 | OWNER | RULING | Disposable owner sitting | ACTIVE | Owner conducts sitting alone via ngrok; characters disposable, origin-storage loss accepted. sitting.sh specifies no home-screen install or backup ritual; first players post-publication.
D161 | 2026-08-02 | OWNER | RULING | Private mirror grant | ACTIVE | Create one private repo under owner's account via gh; push full repo including .claude/ every main merge. Grant covers only that mirror, no other publication/repository creation.
D148 | 2026-08-01 | OWNER | RULING | Full queue gate | ACTIVE | No early sitting: whole queue, including party, wizard multiclass, HA/CI, D149/D151, must drain before sitting/publication.
D137 | 2026-07-31 | OWNER | RULING | Whole queue autonomy | ACTIVE | Opus supervisor drives whole queue, including HA/CI, to D106 per handover; no check-in before HA-1.
D127 | 2026-07-31 | OWNER | RULING | Curated public squash | ACTIVE | Public release is fresh repo, one initial commit: code, docs/srd, user-facing docs. Keep .claude/, orchestration/, progress/, internal designs/history private. More may be published later, never less.
D131 | 2026-07-31 | OWNER | RULING | Second acceptance walkthrough | ACTIVE | Add Playwright walkthrough authoring species→character→archive→duplicate→print to acceptance instrument.
